dataset,horizon,mode,well,chronos,deeponet,lstm,patchtst,tcn,timesfm,tirex
ganymede,7,multi_well,,0.7337626063424602,0.19687254495564743,-0.07808227401587953,-0.5016101661993673,-4.50920987621246,0.825946946929642,0.8216060154373537
ganymede,7,per_well,49_22-Z01Z,-0.8324627849264856,0.0,0.0,0.0,-48.03970421852833,-0.7884563976514054,-0.7492774896205006
ganymede,7,per_well,49_22-Z02Z,-0.46707453462826054,-1.256556986049672,-0.6220765877415408,-0.4077050770179431,-2.491289763388355,-0.3416103379498654,-0.24816051313513077
ganymede,7,per_well,49_22-Z04,-0.12178135263149414,-110.33074829405497,-0.43196428754066685,-0.8617868788739607,-9.857864805075948,0.15294920738673234,0.1293528323712898
ganymede,7,per_well,49_22-Z05Z,-0.05017696558633178,0.0,0.0,0.0,-7.513812692190966,0.0008067335163947087,0.17924966891469996
ganymede,7,per_well,49_22-Z06,0.11447013329424793,-1994164.3089956688,-3526484.7843654454,-22218794623.50135,-6.7015866925669645,0.27856442767901435,0.20519746058866906
ganymede,7,per_well,49_22-Z07,-0.15372614406719665,0.39354174878279546,0.2616846569423773,0.3453816550417155,-0.3468169171882487,0.20786843787593579,0.11701109215997463
ganymede,7,per_well,49_22-Z08,-1.767082774607048,0.0,0.0,0.0,-8.157763341767609,-0.5174171134374483,-0.8298303239694187
ganymede,14,multi_well,,0.6676255504677933,-1.33016225024198,-0.20233621079230102,-0.4671060401047913,0.10752303984160694,0.7630600691976557,0.7754403566836789
ganymede,14,per_well,49_22-Z01Z,-1.1624381104894659,0.0,0.0,0.0,,-1.1012760047437054,-1.0297171049334493
ganymede,14,per_well,49_22-Z02Z,-0.8765718487319423,-19.56091029404061,-1.4786936405869033,-0.7111144410472585,,-0.8218019819767104,-0.7136049652314529
ganymede,14,per_well,49_22-Z04,-0.3599490962072691,-70.92313002470206,-0.26855811948839814,-0.8528160899201613,,-0.021551131017746306,-0.07496417320326931
ganymede,14,per_well,49_22-Z05Z,-0.468812462837481,0.0,0.0,0.0,,-0.5791310471151812,-0.21254077168934749
ganymede,14,per_well,49_22-Z06,-0.8850334578729653,-5013280.05454126,-5555000.419243857,-21995340387.064682,,-0.7022267832339464,-0.7707235692886845
ganymede,14,per_well,49_22-Z07,-0.4975532444750639,0.09960867717738509,0.12572940245282327,0.6388165295440957,,-0.04999538214410548,-0.15526585409903548
ganymede,14,per_well,49_22-Z08,-1.5823627831492804,0.0,0.0,0.0,,-0.42299085330045916,-0.7224822068856092
ganymede,30,multi_well,,0.583825591677553,-0.765877044620882,-0.28040391556203814,-0.47200014317804695,0.059961383088116715,0.6558540450581241,0.6988015291259635
ganymede,30,per_well,49_22-Z01Z,-1.2129349167126784,0.0,0.0,0.0,,-1.1488673211836944,-1.1044039789121811
ganymede,30,per_well,49_22-Z02Z,-1.3980260858690832,-1.8305202412471342,-1.1439154283232158,-0.8712878007803917,,-1.2875676093035735,-1.187892159620624
ganymede,30,per_well,49_22-Z04,-0.8975886304123382,-180.78455712480132,-0.6354362346952158,-1.186653899887553,,-0.35625285235275195,-0.4771130482243069
ganymede,30,per_well,49_22-Z05Z,-0.8344861057008188,0.0,0.0,-239.0581696482411,,-1.3233105428776892,-0.6934153712723226
ganymede,30,per_well,49_22-Z06,-0.8550834372990224,-2343723.025078722,-7765330.947888241,-118.04520760786785,,-0.5952767150402887,-0.6857268514869352
ganymede,30,per_well,49_22-Z07,-0.7635582319622705,-0.037460212834580675,0.09318162803805785,-3.7349802653208704,,-0.2602379722150039,-0.4081159689648648
ganymede,30,per_well,49_22-Z08,-1.48990304980543,0.0,0.0,-1.7866947062029004,,-1.2123493073619795,-1.3565914741649254
ganymede,90,multi_well,,0.36147542887542206,-1.933143154805677,-0.610997153128156,-0.3818475650526587,-0.043650897048698845,0.4132745106050669,0.5651441408475473
ganymede,90,per_well,49_22-Z01Z,-1.1150355021526641,0.0,0.0,-4375.548193788408,,-1.058762270566509,-1.0639517982731772
ganymede,90,per_well,49_22-Z02Z,-1.548398707299396,-16.454598813522292,-1.326419726721741,-0.9658338470976595,,-1.6287887100240717,-1.6402245859420272
ganymede,90,per_well,49_22-Z04,-1.4497782334989648,-60.7270486990875,-12.855057063316332,-1.205148933593386,,-0.6931603016355605,-0.715771399590077
ganymede,90,per_well,49_22-Z05Z,-2.211029673219199,0.0,0.0,-279.2895724802509,,-2.689891449591575,-2.0203983457382564
ganymede,90,per_well,49_22-Z06,-8.269697418750175,-5816849.074124689,-13967838.660086958,-999.8310650421295,,0.08818169830747169,-0.031573841748121945
ganymede,90,per_well,49_22-Z07,-0.987450198005116,0.4887013292600467,0.2284238518521452,-5.532382498721157,,-0.4514898133945773,-0.4630026021549156
ganymede,90,per_well,49_22-Z08,-0.8846422002232304,0.0,0.0,-0.8825131098407479,,-1.384693290966959,-1.38389591018188
inner_mongolia,7,multi_well,,-0.3079180918182398,-0.7576975481173747,0.06893454217624029,-0.0533001415101908,0.026386200663305992,,
inner_mongolia,14,multi_well,,-0.250657413267825,-0.5753878359085955,-0.060257513419382125,-0.041507225027542116,-0.11172915697014596,,
inner_mongolia,30,multi_well,,-0.23724149815568252,-1.4399084923262175,-0.11906753443322415,-0.5632623783616391,-0.2366337680542483,,
inner_mongolia,90,multi_well,,-0.3860559755089026,-0.9265708594957947,-0.35941219106014066,-1.2053448563334621,-0.3862240787716915,,
spe_berg,7,multi_well,,-0.20300707274390484,0.03620110282187261,-0.04024796512805162,,,,
spe_berg,7,per_well,well_12,0.002474726517478043,,,,,,
spe_berg,7,per_well,well_13,-0.005067481424742004,,,,,,
spe_berg,7,per_well,well_14,-0.001936669688849424,,,,,,
spe_berg,7,per_well,well_15,-0.2622390261808558,,,,,,
spe_berg,7,per_well,well_16,0.9173719731308942,,,,,,
spe_berg,7,per_well,well_17,0.9324153399852734,,,,,,
spe_berg,7,per_well,well_18,0.8473074084156289,,,,,,
spe_berg,7,per_well,well_19,0.7434545934927416,,,,,,
spe_berg,7,per_well,well_20,0.729423717554676,,,,,,
spe_berg,7,per_well,well_21,0.6993975026153534,,,,,,
spe_berg,7,per_well,well_22,0.054160581121850404,,,,,,
spe_berg,7,per_well,well_23,-0.8970118757024819,,,,,,
spe_berg,7,per_well,well_24,-0.030144416990260936,,,,,,
spe_berg,7,per_well,well_25,-0.024656715878707214,,,,,,
spe_berg,7,per_well,well_26,-0.029009407214782845,,,,,,
spe_berg,7,per_well,well_27,-0.22935459818556314,,,,,,
spe_berg,7,per_well,well_28,-0.020621179099465925,,,,,,
spe_berg,7,per_well,well_29,0.12511791790670979,,,,,,
spe_berg,7,per_well,well_30,0.025622700962720346,,,,,,
spe_berg,7,per_well,well_31,-0.04494879747511993,,,,,,
spe_berg,7,per_well,well_32,-0.14899376552818788,,,,,,
spe_berg,7,per_well,well_33,-0.026907854054205815,,,,,,
spe_berg,7,per_well,well_34,-0.7504031611349016,,,,,,
spe_berg,14,multi_well,,-0.12085776979085328,-0.011593146782026498,-0.3511911555257594,,,,
spe_berg,30,multi_well,,-0.12609681456474253,-1.3110834420281225,-0.5091126211725543,,,,
spe_berg,90,multi_well,,-0.1713975516130899,-0.40054886230102316,-0.4511780260846565,,,,
volve,7,multi_well,,,,-0.0053497049762651905,,,,
