dataset,model,horizon,mode,well_or_group,fold_or_split,row_type,mae,rmse,naive_mae,stored_naive_mae_inferred,stored_mase,recomputed_mase,delta,denominator_source,suspected_failure_mode,classification,ranking_delta_if_repaired,evidence_path,recompute_error
ganymede,patchtst,7.0,per_well,49_22-Z02Z,cv_fold_0,normal_control,3.417067775930543,4.119755705426177,4.875892002174378,175.109834000871,0.019513854235699558,0.7008087493338079,0.6812948950981084,raw_train,,valid_stored,,/app/results/patchtst/ganymede_h7_per_well_49_22-Z02Z.json,
ganymede,patchtst,7.0,per_well,49_22-Z02Z,cv_fold_1,normal_control,2.2372095013175355,2.677163750457517,3.8064165582743983,131.0494707902901,0.01707148825421505,0.5877468918776857,0.5706754036234707,raw_train,,valid_stored,,/app/results/patchtst/ganymede_h7_per_well_49_22-Z02Z.json,
ganymede,patchtst,7.0,per_well,49_22-Z02Z,cv_fold_2,normal_control,2.2326845946185454,2.493168594620309,3.1530376328345726,105.73632448099197,0.021115587340279747,0.7081059139187527,0.6869903265784729,raw_train,,valid_stored,,/app/results/patchtst/ganymede_h7_per_well_49_22-Z02Z.json,
ganymede,patchtst,7.0,per_well,49_22-Z02Z,test,normal_control,3.3630062674348946,3.83257670901297,2.6656935411135314,87.65017950793802,0.03836850405001538,1.2615877315102308,1.2232192274602154,raw_train,,valid_stored,,/app/results/patchtst/ganymede_h7_per_well_49_22-Z02Z.json,
ganymede,chronos,7.0,per_well,49_22-Z06,cv_fold_0,ganymede_z06,0.0004943893612841482,0.008984996551014956,3.6399935019853755,5.956296316899934,8.300281500122923e-05,0.00013582149556434417,5.2818680563114945e-05,raw_train,,valid_stored,,/app/results/chronos/ganymede_h7_per_well_49_22-Z06.json,
ganymede,chronos,7.0,per_well,49_22-Z06,cv_fold_1,ganymede_z06,1.3969838619232178e-08,1.3969838619232178e-08,2.7297752671262994,4.4645230316873565,3.1290775117700106e-09,5.117578281064348e-09,1.9885007692943374e-09,raw_train,,valid_stored,,/app/results/chronos/ganymede_h7_per_well_49_22-Z06.json,
ganymede,chronos,7.0,per_well,49_22-Z06,cv_fold_2,ganymede_z06,1.3969838619232178e-08,1.3969838619232178e-08,2.183604761825181,3.570207276228846,3.912892876625443e-09,6.397604027734118e-09,2.4847111511086745e-09,raw_train,,valid_stored,,/app/results/chronos/ganymede_h7_per_well_49_22-Z06.json,
ganymede,chronos,7.0,per_well,49_22-Z06,test,ganymede_z06,2.687231760010375e-06,9.068379081565204e-05,1.8195509590480134,2.9743892745672187,9.034566467098946e-07,1.476865347819844e-06,5.734087011099494e-07,raw_train,,valid_stored,,/app/results/chronos/ganymede_h7_per_well_49_22-Z06.json,
ganymede,deeponet,7.0,per_well,49_22-Z06,cv_fold_0,ganymede_z06,2.0471832466716666,2.8042416766333815,3.6399935019853755,143.53258518804904,0.014262846614164664,0.5624139838587798,0.5481511372446152,raw_train,,valid_stored,,/app/results/deeponet/ganymede_h7_per_well_49_22-Z06.json,
ganymede,deeponet,7.0,per_well,49_22-Z06,cv_fold_1,ganymede_z06,2.4599103156396387,2.7943597215679574,2.7297752671262994,107.58571884943093,0.022864654732496128,0.9011402313089479,0.8782755765764518,raw_train,,valid_stored,,/app/results/deeponet/ganymede_h7_per_well_49_22-Z06.json,
ganymede,deeponet,7.0,per_well,49_22-Z06,cv_fold_2,ganymede_z06,0.23926436469848825,0.26559818453971473,2.183604761825181,86.03456932091986,0.0027810258897909028,0.10957310997000093,0.10679208408021003,raw_train,,valid_stored,,/app/results/deeponet/ganymede_h7_per_well_49_22-Z06.json,
ganymede,deeponet,7.0,per_well,49_22-Z06,test,ganymede_z06,0.13805380065248132,0.15952340225741268,1.8195509590480134,70.9266549267998,0.0019464304469872492,0.07587245631455734,0.07392602586757009,raw_train,,valid_stored,,/app/results/deeponet/ganymede_h7_per_well_49_22-Z06.json,
ganymede,lstm,7.0,per_well,49_22-Z06,cv_fold_0,ganymede_z06,1.046381252387706,1.8093605836567048,3.6399935019853755,143.53258518804904,0.007290199998953485,0.28746789020831337,0.2801776902093599,raw_train,,valid_stored,,/app/results/lstm/ganymede_h7_per_well_49_22-Z06.json,
ganymede,lstm,7.0,per_well,49_22-Z06,cv_fold_1,ganymede_z06,2.0836634668171254,4.338350719469674,2.7297752671262994,107.58571884943092,0.019367472645075393,0.7633095265789585,0.743942053933883,raw_train,,valid_stored,,/app/results/lstm/ganymede_h7_per_well_49_22-Z06.json,
ganymede,lstm,7.0,per_well,49_22-Z06,cv_fold_2,ganymede_z06,0.020358997095491993,0.04259645758683612,2.183604761825181,86.03456932091986,0.00023663740350172906,0.009323572402578379,0.00908693499907665,raw_train,,valid_stored,,/app/results/lstm/ganymede_h7_per_well_49_22-Z06.json,
ganymede,lstm,7.0,per_well,49_22-Z06,test,ganymede_z06,0.02360488903051737,0.02807618178007757,1.8195509590480134,70.9266549267998,0.0003328070251568879,0.012972920001574134,0.012640112976417246,raw_train,,valid_stored,,/app/results/lstm/ganymede_h7_per_well_49_22-Z06.json,
ganymede,patchtst,7.0,per_well,49_22-Z06,cv_fold_0,ganymede_z06,8.301118749939377,8.301124244091255,3.6399935019853755,143.53258518804904,0.057834384708278445,2.2805312002374913,2.222696815529213,raw_train,,valid_stored,,/app/results/patchtst/ganymede_h7_per_well_49_22-Z06.json,
ganymede,patchtst,7.0,per_well,49_22-Z06,cv_fold_1,ganymede_z06,11.072978292192731,11.072978597537192,2.7297752671262994,107.58571884943092,0.10292238050376984,4.056369923759154,3.953447543255384,raw_train,,valid_stored,,/app/results/patchtst/ganymede_h7_per_well_49_22-Z06.json,
ganymede,patchtst,7.0,per_well,49_22-Z06,cv_fold_2,ganymede_z06,12.795861516680036,12.79586169467683,2.183604761825181,86.03456932091986,0.14872930285673716,5.859971429071499,5.711242126214762,raw_train,,valid_stored,,/app/results/patchtst/ganymede_h7_per_well_49_22-Z06.json,
ganymede,patchtst,7.0,per_well,49_22-Z06,test,ganymede_z06,0.31222501564580496,0.3145175134240631,1.8195509590480134,70.9266549267998,0.004402082911819799,0.17159454319936204,0.16719246028754225,raw_train,,valid_stored,,/app/results/patchtst/ganymede_h7_per_well_49_22-Z06.json,
ganymede,tcn,7.0,per_well,49_22-Z06,cv_fold_0,ganymede_z06,4.622593790082806,6.296788464630381,3.6399935019853755,143.53258518804904,0.03220588400903195,1.2699456159912061,1.2377397319821741,raw_train,,valid_stored,,/app/results/tcn/ganymede_h7_per_well_49_22-Z06.json,
ganymede,tcn,7.0,per_well,49_22-Z06,cv_fold_1,ganymede_z06,2.815049865139004,5.139159567500856,2.7297752671262994,107.58571884943092,0.026165646288786166,1.0312386880486595,1.0050730417598732,raw_train,,valid_stored,,/app/results/tcn/ganymede_h7_per_well_49_22-Z06.json,
ganymede,tcn,7.0,per_well,49_22-Z06,cv_fold_2,ganymede_z06,0.11042142330391015,0.15149676319431143,2.183604761825181,86.03456932091986,0.0012834541298396489,0.05056841111283053,0.04928495698299088,raw_train,,valid_stored,,/app/results/tcn/ganymede_h7_per_well_49_22-Z06.json,
