model,scenario_count,mean_mase,median_mase,mean_rank
tirex,32,2.877148196165189,1.3755809788830424,1.1875
chronos,32,2.875072805205452,1.394330408567166,2.03125
timesfm,32,3.9202926498249617,1.8616554798742477,3.1875
lstm,32,5.644028296945952,2.1603725808741885,4.75
patchtst,32,5.270728499177404,2.0826852227064205,5.09375
tcn,32,5.747176399661746,2.1643464266632533,5.21875
deeponet,32,7.953991694996899,3.8379043364352796,6.53125
